,Prod. year,Leather interior,Mileage,Cylinders,Wheel,price_levy_combined,Airbags_bins,Engine volume int,Turbo,Coupe,Goods wagon,Hatchback,Jeep,Microbus,Minivan,Pickup,Sedan,Universal,Diesel,Hybrid,LPG,Petrol,Automatic,Manual,Variator,4x4,Front,Germany,Japan,South Korea,USA
3186,2014,1,56000,4.0,0,24148,1,1.6,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
3187,2008,0,66846,4.0,0,12019,1,2.5,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3189,2002,1,281000,4.0,1,4000,1,2.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3190,2010,0,168960,4.0,0,1338,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3191,2015,0,58052,4.0,0,24835,1,1.4,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3192,2015,0,118000,4.0,0,27591,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
3193,2003,0,22863,4.0,0,4704,1,1.2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
3195,2015,0,23603,4.0,0,24429,1,1.2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3196,2004,1,0,4.0,0,8467,1,1.7,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0
3197,2008,0,120000,4.0,0,14113,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
3199,2010,1,165000,4.0,0,19757,2,2.4,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3200,2016,0,257102,4.0,0,16572,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
3201,2010,0,174309,4.0,0,20385,2,1.8,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3202,2014,1,155000,4.0,0,20693,2,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
3203,2015,0,129254,4.0,0,40324,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3205,2011,0,58548,4.0,0,20308,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3206,2012,1,102000,4.0,1,11268,2,1.5,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3207,1999,1,395000,4.0,0,13328,1,2.5,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
3209,2008,0,145567,4.0,0,16621,2,2.4,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3211,2011,0,133783,4.0,0,20262,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3212,2017,0,39762,4.0,0,11081,2,2.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3213,2015,0,104674,4.0,0,28283,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3214,2010,0,165000,6.0,0,32929,3,3.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
3215,2014,0,53800,4.0,0,18164,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3216,2015,0,99106,4.0,0,53724,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3217,2011,0,88400,4.0,0,19020,2,2.4,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
3220,2011,1,136000,4.0,0,14740,2,1.3,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
3221,2015,0,111402,4.0,0,5647,0,1.6,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
3222,2012,0,105437,4.0,0,28566,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3224,2009,0,245470,6.0,0,28225,2,3.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
3225,2005,1,120000,4.0,0,16621,1,2.4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
3226,2008,0,288000,4.0,0,11243,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3227,2012,0,212682,4.0,0,2713,2,2.4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3228,2014,0,189000,4.0,0,24922,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3229,2013,0,308694,4.0,0,4699,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3230,2015,0,53711,4.0,0,9790,1,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3231,2010,0,121000,4.0,0,24096,1,2.4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3234,2012,1,69000,4.0,1,10754,1,1.2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3235,2004,1,16000,4.0,1,5645,2,2.3,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3236,2014,0,151000,4.0,0,36707,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3239,2012,0,258990,6.0,0,1478,2,3.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3240,2006,0,243200,6.0,0,10036,2,3.3,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
3241,1998,1,123000,4.0,0,7527,1,2.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
3242,2002,0,265600,6.0,0,8781,2,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
3243,2012,0,125000,4.0,0,50178,2,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3244,2005,0,145000,6.0,0,4704,1,3.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
3245,2016,0,267209,4.0,0,16572,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
3246,2015,0,90660,4.0,0,36278,1,2.5,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
3247,2000,0,314000,6.0,0,8154,2,2.6,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
3248,2013,0,86996,4.0,0,16372,1,1.3,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3249,2014,0,47152,4.0,0,24298,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
3251,2013,0,134982,4.0,0,16321,0,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3252,2008,0,93000,4.0,0,21953,2,2.5,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
3253,2016,0,258906,4.0,0,12181,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
3254,2009,0,75644,4.0,0,6925,1,2.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3255,2013,0,230397,8.0,0,3634,2,4.6,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
3256,2015,1,123000,4.0,1,12845,1,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3258,2014,1,49000,4.0,0,12132,2,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
3259,2000,0,209123,4.0,0,12544,2,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3260,2005,0,125000,8.0,0,17249,2,5.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3261,2014,0,73650,4.0,0,28698,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3262,2011,0,145219,4.0,0,19533,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3264,2012,1,0,4.0,0,13485,2,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3266,2007,0,310000,6.0,0,19130,1,3.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
3267,2012,1,7964,6.0,0,21326,3,2.4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3268,2014,0,126970,4.0,0,34851,1,2.5,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3269,2011,0,142600,4.0,0,11744,1,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3273,2017,0,46935,4.0,0,32459,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3274,2013,0,150000,4.0,0,21012,2,1.8,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3275,2014,0,280000,6.0,0,15367,2,3.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
3276,2011,0,177250,4.0,0,1586,2,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3280,2014,0,100800,4.0,0,16836,2,1.6,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3281,2014,0,144000,4.0,0,19087,2,1.8,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
3282,2007,0,122587,4.0,0,12415,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3283,2004,1,98000,4.0,1,6899,1,1.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3286,2013,0,163000,4.0,0,20385,1,2.0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
3287,2012,0,236698,6.0,0,5292,2,3.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3288,2013,0,74838,4.0,0,4035,2,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3289,2016,0,43300,4.0,0,44598,1,1.6,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3290,2012,0,128297,4.0,0,28225,1,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3292,2012,1,57000,4.0,0,22266,2,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
3293,2010,0,316912,6.0,0,1449,2,3.3,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3294,2009,0,74594,4.0,0,7390,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3295,2013,0,102788,4.0,0,9892,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
3296,2014,0,147957,4.0,0,26417,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3297,1999,1,156000,4.0,0,7370,1,1.8,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
3299,2014,0,38878,4.0,0,16789,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3300,2008,0,134955,4.0,0,26207,1,2.5,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3301,2012,0,200000,6.0,0,23675,0,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
3302,2019,0,13147,6.0,0,12169,2,3.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3303,2015,0,59000,4.0,1,19236,2,2.2,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
3306,2002,1,20000,4.0,0,7100,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
3307,2018,0,50310,4.0,0,57011,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3309,2010,0,180800,8.0,0,37633,2,3.5,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3311,2017,1,89620,4.0,0,14851,2,1.4,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3312,2002,1,208000,6.0,0,8154,1,3.7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
3313,2015,0,71939,6.0,0,4566,2,3.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
3315,2011,0,162977,4.0,0,24830,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3318,2012,0,134114,6.0,0,38691,2,3.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
3319,2014,1,13000,4.0,0,14752,2,2.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
3320,2013,0,237158,6.0,0,1212,2,3.5,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
3321,2014,0,89526,4.0,0,2521,2,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3322,2015,0,99000,4.0,0,40324,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3323,2010,0,264132,4.0,0,1044,2,1.3,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3324,2015,1,118410,4.0,0,12897,2,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
3325,2000,0,111111,6.0,0,7840,1,3.2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3326,2008,1,160000,6.0,0,12500,1,3.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
3331,2011,0,165222,4.0,0,16543,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3332,2016,0,97181,4.0,0,40527,1,1.6,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3334,2012,0,46000,4.0,0,13828,1,1.6,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3335,2009,0,159747,4.0,0,13768,1,3.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3336,2006,0,262298,4.0,0,2927,2,2.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
3337,2016,0,30177,4.0,0,36672,1,1.7,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3341,2013,0,94415,4.0,0,27005,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3342,2009,1,124000,4.0,0,16935,1,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3343,2002,0,237688,4.0,0,8467,1,2.5,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3344,2012,0,155607,4.0,0,17577,1,2.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3345,2007,1,125000,4.0,0,10036,1,1.3,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
3346,2010,0,152566,4.0,0,16686,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3347,2003,1,1800,4.0,1,7683,2,2.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3348,2011,1,120000,6.0,0,45473,1,3.8,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
3349,2012,0,121000,4.0,0,11618,2,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3352,2010,0,170000,4.0,0,14905,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3353,2012,0,91000,6.0,0,55823,2,3.6,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
3354,2014,0,51000,4.0,0,39476,1,1.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3355,2014,0,189216,4.0,0,1100,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3356,2011,1,177600,4.0,0,17249,2,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3357,2015,0,96000,4.0,0,20141,3,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3358,2016,0,175089,4.0,0,41281,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3360,2016,1,74098,4.0,0,19214,2,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3363,2010,0,150000,6.0,0,29166,2,3.2,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
3364,2012,0,149520,6.0,0,10327,0,3.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
3366,2015,0,26000,4.0,0,42337,2,2.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
3368,2009,0,251278,6.0,0,9534,2,3.3,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3369,2015,0,229192,4.0,0,4048,0,2.4,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
3370,2010,0,156000,4.0,0,11663,2,1.6,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
3372,2008,1,240000,4.0,0,6272,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3373,2011,0,171000,6.0,0,56450,2,3.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
3375,2012,0,123862,4.0,0,4987,2,2.4,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
3376,2016,0,155942,4.0,0,4730,2,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3377,2014,0,179664,4.0,0,19028,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3378,2011,0,127000,6.0,0,20827,2,4.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3379,2013,0,10000,4.0,0,29492,2,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
3380,2016,0,116786,4.0,0,9872,2,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
3381,2011,0,198400,4.0,0,24069,2,2.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
3382,2012,0,151136,4.0,0,17877,1,1.6,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3383,2015,1,72000,4.0,0,13869,1,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
3385,2011,0,123803,6.0,0,30811,2,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3386,2014,0,42000,4.0,0,31407,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3388,2012,1,244800,4.0,0,11403,2,1.5,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3389,2003,1,180000,4.0,1,9408,1,2.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
3390,2011,0,228610,4.0,0,4722,0,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3391,2017,0,60013,4.0,0,43818,1,1.6,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3392,2012,0,58000,4.0,0,15681,2,1.4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
3393,2017,0,50380,4.0,0,31589,1,1.7,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3394,2012,1,110000,4.0,0,20500,2,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3395,2008,1,170000,4.0,1,9722,1,1.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3396,2018,0,41523,4.0,0,33956,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3397,2016,0,33091,4.0,0,19233,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
3398,1997,0,1000,4.0,0,7527,0,2.5,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
3399,2011,1,160000,4.0,0,12858,1,1.4,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
3400,2016,0,74053,4.0,0,1067,2,2.5,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3401,2013,1,175930,4.0,0,12991,0,1.3,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3403,2017,0,46413,4.0,0,1331,0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
3404,1998,1,11111,4.0,0,9408,1,2.5,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
3405,2010,0,203061,4.0,0,3965,2,2.4,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3406,2016,0,99821,4.0,0,36793,1,2.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
3408,2010,0,153966,4.0,0,12437,1,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3409,2014,1,70000,4.0,1,13172,2,1.5,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
3410,2015,0,76000,4.0,0,44357,2,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
3411,2010,0,221760,4.0,0,1467,2,1.8,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3412,2013,1,115200,4.0,0,18189,1,1.8,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3413,2015,0,100747,4.0,0,10418,0,2.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3414,2015,0,143604,4.0,0,49839,1,3.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3415,2014,0,141384,6.0,0,26004,0,3.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
3416,2013,1,136861,4.0,0,17400,0,2.5,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3417,2013,1,144000,4.0,0,13184,2,2.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3418,1998,0,220000,6.0,0,8154,1,3.2,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3419,2009,1,350000,4.0,0,32415,1,2.2,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
3420,2012,1,138965,6.0,0,19700,2,4.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
3421,2011,1,97600,6.0,0,16308,2,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
3422,2013,1,243200,4.0,0,21012,2,1.8,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3423,2005,1,176000,4.0,1,7213,2,1.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0
3424,2012,0,160000,4.0,0,14266,0,2.5,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
3425,2009,0,75996,4.0,0,7375,1,1.6,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
3426,2010,0,185120,4.0,0,15968,1,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3427,2010,1,93000,4.0,1,12231,1,1.3,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
